Mouth_Width,Mouth_Height,Mouth_Ratio,Smile_Curve,Left_Eye_Ratio,Right_Eye_Ratio,Left_Brow_Eye_Dist,Right_Brow_Eye_Dist,Left_Brow_Tilt,Brow_Gap,Label,Image_Name,Person_ID,Image_Path
0.7000903383494026,0.00247876670096041,0.0035406332933707904,0.009615096787666005,0.33709518429123797,0.324622547997259,0.2070689136308619,0.21578938932417166,-0.06248143798054274,0.43187733349316393,Anger,Anger.png,0,0\Anger.png
0.6418515405826295,0.0019434704506836897,0.003027908012827278,0.0059414433626762625,0.3118578195729464,0.30083385308037974,0.24128583349898725,0.23538421713966534,-0.07167531718105183,0.4303744183604368,Contempt,Contempt.png,0,0\Contempt.png
0.6987230842277801,0.05273470547047954,0.07547286069115705,0.06845553658900434,0.31853258453798394,0.319557575556325,0.2382862993384841,0.2346021884911053,-0.08443945862186476,0.4158259931535351,Disgust,Disgust.png,0,0\Disgust.png
0.6781404550569584,0.19899235934303838,0.29343783344777913,0.11942549183931545,0.4141388094926826,0.4139997872636385,0.32219720762918264,0.34728484234609225,-0.116201882817017,0.4272127506925768,Fear,Fear.png,0,0\Fear.png
0.8794867999547764,0.13851354180303435,0.1574934203864531,-0.015945081351016795,0.25401694603195774,0.25464177830996026,0.29926016704686315,0.3020099482600475,-0.07437725781244436,0.4203343582411837,Happy,Happy.png,0,0\Happy.png
0.7048733170978342,0.004147671845605099,0.0058842714864150965,0.008484164047598743,0.3866657662386171,0.39750051182155943,0.2289257506343066,0.22417485622120725,-0.057065666562302254,0.44493042148833695,Neutral,Neutral.png,0,0\Neutral.png
0.7415739078331184,0.004916727178666894,0.006630115348742811,0.03628202463030193,0.3106834134201328,0.3622099545642836,0.3028354561557528,0.30762839104922546,-0.09167309202500011,0.4085682577515662,Sad,Sad.png,0,0\Sad.png
0.6966764921560106,0.059380467687188854,0.08523379663583487,0.03914189583595312,0.4235115762771401,0.4109054113994058,0.2849300289412915,0.25820253072946486,-0.07790919859373205,0.454259558916293,Surprised,Surprised.png,0,0\Surprised.png
0.7124812044677358,0.0037486660504016224,0.005261417094904267,-0.01727436612553062,0.3735335615221036,0.35096532599303776,0.2725788317851004,0.2541693961170216,-0.08068358337297678,0.4505688718816699,Anger,Anger.png,1,1\Anger.png
0.7977486568621454,0.0009065710607034417,0.001136410467751666,0.024404037275395436,0.2810916450695225,0.23849703876243658,0.3332792210371931,0.3405145122900125,-0.09947682378222676,0.4159902507913798,Contempt,Contempt.png,1,1\Contempt.png
0.8235612289471211,0.001041473914476391,0.0012645965026927691,-0.06617332181584859,0.20648637121291386,0.11957981685838989,0.1748325745271513,0.2688860905254588,-0.03241728093561645,0.42005659869102113,Disgust,Disgust.png,1,1\Disgust.png
0.7703577938079716,0.003082953463456204,0.0040019708845235764,0.0038597016720593605,0.43821083396263183,0.4397293422192974,0.31493393980946216,0.2637494109154682,-0.08474774582734068,0.43031227328731425,Fear,Fear.png,1,1\Fear.png
0.9551190513413697,0.172263674062481,0.18035813803778286,-0.06981828055936407,0.2953442428704442,0.23647523847601679,0.3227882416284332,0.3357177880184159,-0.09508799678502024,0.4328354543477712,Happy,Happy.png,1,1\Happy.png
0.7765410582607151,0.001115338409282189,0.0014362884758364588,-0.021907128071779112,0.41250851725943327,0.40051124521792086,0.2661480742894322,0.270169880829546,-0.07086578489541062,0.4499430969172553,Neutral,Neutral.png,1,1\Neutral.png
0.7493095100597594,0.0008851019438462582,0.0011812218459015997,-0.02367085226637305,0.3498090915871398,0.32697765980059407,0.28750962350894776,0.26227584176240964,-0.07169844463172442,0.44758391435561945,Sad,Sad.png,1,1\Sad.png
0.7344530311589272,0.001740919707615711,0.002370358979266051,-0.010518233041840588,0.4369939500205052,0.3956637559059574,0.39012580165375077,0.3589124470642061,-0.10545165668766004,0.47600217193043326,Surprised,Surprised.png,1,1\Surprised.png
1.2822713130358094,0.28199513015515393,0.2199182866917901,0.06449932276387874,0.3110364202268955,0.300921769148006,0.4871344897557761,0.48900109292221045,-0.16063222689209314,0.4657371518014299,Anger,Anger.png,10,10\Anger.png
0.9235518629563586,0.11959931428766866,0.12949915384899865,0.11102211934099779,0.2157539639475975,0.2920033102684635,0.5056402354008959,0.47679267977268575,-0.20506938429376417,0.4681917372628927,Contempt,Contempt.png,10,10\Contempt.png
0.9906557203087569,0.4862608680380605,0.4908469887394577,0.19548446057014726,0.3339330653396483,0.31949213429444573,0.4124323858356673,0.4392066321424839,-0.1529047367507287,0.4907728700795737,Disgust,Disgust.png,10,10\Disgust.png
1.1392759162414674,0.3065850039865147,0.2691049029571794,0.2475784774441233,0.3147697683400701,0.31617234653314497,0.4453947813695547,0.42830842234682864,-0.19340986496451043,0.46689312259240995,Fear,Fear.png,10,10\Fear.png
1.2822713130358094,0.28199513015515393,0.2199182866917901,0.06449932276387874,0.3110364202268955,0.300921769148006,0.4871344897557761,0.48900109292221045,-0.16063222689209314,0.4657371518014299,Happy,Happy.png,10,10\Happy.png
0.8771355118221914,0.0012976117464892011,0.0014793726278632513,-0.027262625497273894,0.23525566455962296,0.2629278454644669,0.3415249603890286,0.34518944084238484,-0.11027543527713439,0.44269774319590854,Neutral,Neutral.png,10,10\Neutral.png
1.0858708506238082,0.17196561368837648,0.158366398014265,0.006359158233886717,0.05135113929216561,0.056471718305239754,0.3815274598926598,0.42149739056076346,-0.11167118051748363,0.423687597803504,Sad,Sad.png,10,10\Sad.png
